# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Wed Mar 17 19:37:56 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
   1  debut    0.00  -35.000   35.000    7.000
   2  sd1a     0.90  -35.000   35.000    7.000
   3  ssep     0.90  -25.000   25.000    7.000
   4  sep      1.10  -25.000   25.000    7.000
   5  sep      1.30  -25.000   25.000    7.000
   6  sep      1.50  -25.000   25.000    7.000
   7  esep     1.50  -35.000   35.000    7.000
   8  sd1c     5.20  -35.000   35.000    7.000
   9  ehu60    5.20  -35.000   35.000   12.500
  10  sd1d     6.00  -35.000   35.000   12.500
  11  qp1      6.16  -35.000   35.000   12.500
  12  qp1      6.32  -35.000   35.000   12.500
  13  sd2      6.71  -35.000   35.000   12.500
  14  sx1      6.71  -35.000   35.000   12.500
  15  sd3      6.91  -35.000   35.000   12.500
  16  qp2      7.14  -35.000   35.000   12.500
  17  qp2      7.37  -35.000   35.000   12.500
  18  sd14     7.96  -35.000   35.000   12.500
  19  qp3      8.12  -35.000   35.000   12.500
  20  qp3      8.28  -35.000   35.000   12.500
  21  sd5      8.48  -35.000   35.000   12.500
  22  sx2      8.48  -35.000   35.000   12.500
  23  sd6      9.27  -35.000   35.000   12.500
  24  bend2    9.45  -35.000   35.000   12.500
  25  bend3    9.62  -35.000   35.000   12.500
  26  bend3    9.80  -35.000   35.000   12.500
  27  bend3    9.97  -35.000   35.000   12.500
  28  bend3   10.15  -35.000   35.000   12.500
  29  bend4   10.32  -35.000   35.000   12.500
  30  sd7     10.76  -35.000   35.000   12.500
  31  qp4     10.92  -35.000   35.000   12.500
  32  qp4     11.08  -35.000   35.000   12.500
  33  sd8     11.28  -35.000   35.000   12.500
  34  sx3     11.28  -35.000   35.000   12.500
  35  sd9     11.76  -35.000   35.000   12.500
  36  qp5     11.92  -35.000   35.000   12.500
  37  qp5     12.08  -35.000   35.000   12.500
  38  sd12    12.55  -35.000   35.000   12.500
  39  sx4     12.55  -35.000   35.000   12.500
  40  sd10    13.02  -35.000   35.000   12.500
  41  qp5     13.18  -35.000   35.000   12.500
  42  qp5     13.34  -35.000   35.000   12.500
  43  sd9     13.82  -35.000   35.000   12.500
  44  sx3     13.82  -35.000   35.000   12.500
  45  sd8     14.02  -35.000   35.000   12.500
  46  qp4     14.18  -35.000   35.000   12.500
  47  qp4     14.34  -35.000   35.000   12.500
  48  sd7     14.78  -35.000   35.000   12.500
  49  bend2   14.95  -35.000   35.000   12.500
  50  bend3   15.13  -35.000   35.000   12.500
  51  bend3   15.30  -35.000   35.000   12.500
  52  bend3   15.48  -35.000   35.000   12.500
  53  bend3   15.65  -35.000   35.000   12.500
  54  bend4   15.83  -35.000   35.000   12.500
  55  sd7     16.27  -35.000   35.000   12.500
  56  qp6     16.43  -35.000   35.000   12.500
  57  qp6     16.59  -35.000   35.000   12.500
  58  sd5     16.79  -35.000   35.000   12.500
  59  sx5     16.79  -35.000   35.000   12.500
  60  sd4     17.18  -35.000   35.000   12.500
  61  qp7     17.41  -35.000   35.000   12.500
  62  qp7     17.64  -35.000   35.000   12.500
  63  sd3     17.84  -35.000   35.000   12.500
  64  sx6     17.84  -35.000   35.000   12.500
  65  sd2     18.23  -35.000   35.000   12.500
  66  qp8     18.39  -35.000   35.000   12.500
  67  qp8     18.55  -35.000   35.000   12.500
  68  sd13c   19.28  -35.000   35.000   12.500
  69  ssdm    19.28  -21.000   21.000    5.000
  70  sd13a   19.48  -21.000   21.000    5.000
  71  sd13a   19.68  -21.000   21.000    5.000
  72  sd13a   19.88  -21.000   21.000    5.000
  73  sd13a   20.08  -21.000   21.000    5.000
  74  sd13a   20.28  -21.000   21.000    5.000
  75  sd13a   20.48  -21.000   21.000    5.000
  76  sd13a   20.68  -21.000   21.000    5.000
  77  sd13a   20.88  -21.000   21.000    5.000
  78  sd13a   21.08  -21.000   21.000    5.000
  79  sd13a   21.28  -21.000   21.000    5.000
  80  sd13a   21.48  -21.000   21.000    5.000
  81  sd13a   21.68  -21.000   21.000    5.000
  82  sd13a   21.88  -21.000   21.000    5.000
  83  sd13b   22.03  -21.000   21.000    5.000
  84  sd13b   22.18  -21.000   21.000    5.000
  85  sd13a   22.38  -21.000   21.000    5.000
  86  sd13a   22.58  -21.000   21.000    5.000
  87  sd13a   22.78  -21.000   21.000    5.000
  88  sd13a   22.98  -21.000   21.000    5.000
  89  sd13a   23.18  -21.000   21.000    5.000
  90  sd13a   23.38  -21.000   21.000    5.000
  91  sd13a   23.58  -21.000   21.000    5.000
  92  sd13a   23.78  -21.000   21.000    5.000
  93  sd13a   23.98  -21.000   21.000    5.000
  94  sd13a   24.18  -21.000   21.000    5.000
  95  sd13a   24.38  -21.000   21.000    5.000
  96  sd13a   24.58  -21.000   21.000    5.000
  97  sd13a   24.78  -21.000   21.000    5.000
  98  esdm    24.78  -21.000   21.000    5.000
  99  eesdm   24.78  -35.000   35.000   12.500
 100  sd13c   25.51  -35.000   35.000   12.500
 101  qp8     25.67  -35.000   35.000   12.500
 102  qp8     25.83  -35.000   35.000   12.500
 103  sd2     26.22  -35.000   35.000   12.500
 104  sx8     26.22  -35.000   35.000   12.500
 105  sd3     26.42  -35.000   35.000   12.500
 106  qp7     26.65  -35.000   35.000   12.500
